id,difficulty,pass,predicted_shot,expected_shot,acceptable_alternatives,reasoning_coverage,mentions_hit,mentions_miss,skill_level,zone,ball_height,ball_speed,ball_x,ball_y,me_position,partner_position,opp_left_position,opp_right_position,expected_sequence,source,warning,notes
gold_001,obvious,✗,Deep Drop Shot to Opponent's Feet,third_shot_drop,third_shot_drive,0.667,"kitchen, time",advance,3.5,baseline,mid,slow,15.0,40.0,right_baseline,left_baseline,left_kitchen,right_kitchen,drop lands softly in opponent kitchen | opponent dinks back low | you and partner advance to kitchen line,"Ben Johns - Third Shot Fundamentals, canonical setup",No 3.5-level content available yet. Using general advice.,
gold_002,obvious,✗,Speed-up at Opponent Right's Hip,put_away_volley,"attack_volley, overhead",0.667,"high, attack",finish,4.0,kitchen,high,slow,5.0,28.0,left_kitchen,right_kitchen,left_kitchen,right_kitchen,drive downward at opponent feet or open court | opponent cannot react in time | point ends as winner,Generic - any coach; high ball at kitchen is textbook attack,No 4.0-level content available yet. Using general advice.,
gold_003,obvious,✓,Soft Reset Dink to Opponent's Backhand,reset,"block, drop_volley",1.0,"reset, soft, kitchen",,4.0,transition,low,fast,14.0,33.0,right_transition,left_transition,left_kitchen,right_kitchen,absorb pace with soft reset into opponent kitchen | opponent forced to dink up | you advance to kitchen line,Enhance Pickleball - Transition Zone Resets,No 4.0-level content available yet. Using general advice.,
gold_004,obvious,✓,Cross-court dink to opponent's backhand,crosscourt_dink,middle_dink,0.667,"low, net",crosscourt,4.0,kitchen,low,slow,4.0,28.0,left_kitchen,right_kitchen,left_kitchen,right_kitchen,soft crosscourt dink clears net low into opponent kitchen | opponent dinks back crosscourt | patient rally continues until attackable ball appears,PrimeTime Pickleball - Dinking Fundamentals,No 4.0-level content available yet. Using general advice.,
gold_005,obvious,✗,Overhead Slam to Open Court,drive,"attack_volley, roll_volley",0.667,"high, feet",attack,4.0,kitchen,high,slow,8.0,27.0,left_kitchen,right_kitchen,left_baseline,right_baseline,drive hard at opponent feet | opponent cannot reset cleanly from baseline | you volley the popup for the winner,Generic - fourth-shot attack on a floated third,No 4.0-level content available yet. Using general advice.,
gold_006,obvious,✗,Soft Reset Dink to Middle,lob,drop,1.0,"lob, reset, time",,3.5,baseline,low,fast,16.0,42.0,right_baseline,left_baseline,left_kitchen,right_kitchen,lob arcs over both opponents' heads | opponents retreat to baseline to chase | you and partner advance to kitchen line,Generic - 3.5 defensive lob when drop is too risky,No 3.5-level content available yet. Using general advice.,
gold_007,obvious,✗,Drop Shot into the Kitchen,deep_return,topspin_return,0.333,time,"deep, advance",3.5,transition,mid,slow,15.0,38.0,right_baseline,left_kitchen,left_baseline,right_baseline,deep topspin return lands near opponent baseline | you advance to kitchen line while ball travels | opponent forced to hit third shot from deep,Generic - canonical return-and-advance,No 3.5-level content available yet. Using general advice.,
gold_008,obvious,✗,Soft Reset Dink to Opponent's Backhand,attack_volley,"roll_volley, put_away_volley",0.0,,"popup, volley, feet",4.0,kitchen,mid,slow,15.0,24.0,right_kitchen,left_kitchen,left_kitchen,right_kitchen,firm volley driven downward at opponent feet | opponent pops the ball up | partner puts away the short ball for winner,Generic - any floated dink that sits above net height,No 4.0-level content available yet. Using general advice.,
gold_009,obvious,✗,Inside-Out Dink to Opponent's Right Foot,speedup,"attack_volley, roll",1.0,"speed, middle, attack",,4.5,kitchen,mid,slow,10.0,27.0,right_kitchen,left_kitchen,left_kitchen,right_kitchen,topspin speedup driven at opponent chest down the middle | opponent blocks the ball short into kitchen | partner attacks the short ball for winner,Anna Leigh Waters clinic - middle speedup selection,No 4.5-level content available yet. Using general advice.,
gold_010,obvious,✓,Reset with a Deep Soft Drop into Opponent's Kitchen,block_volley,"reset, drop_volley",0.667,"block, kitchen",absorb,4.0,kitchen,mid,fast,15.0,27.0,right_kitchen,left_kitchen,left_baseline,right_baseline,soft block drops short into opponent kitchen | opponent forced to hit up from deep | you and partner attack the next ball,PrimeTime Pickleball - Defending Hard Drives,No 4.0-level content available yet. Using general advice.,
gold_011,typical,✗,Soft Dink Cross-Court to Opponent's Backhand,forehand_roll_to_feet,"crosscourt_dink, attack_volley",0.5,"roll, mid-height","forehand, feet",4.0,kitchen,mid,slow,16.0,28.0,right_kitchen,left_kitchen,left_kitchen,right_kitchen,forehand roll drives into right opponent feet | opponent pops ball up short | partner volleys the short ball for winner,Generic - mid-height ball on right side rewards forehand roll over passive dink,No 4.0-level content available yet. Using general advice.,
gold_012,typical,✗,Deep Drop Shot to Middle,third_shot_drop,third_shot_drive,0.75,"kitchen, angle, drop",advance,3.5,baseline,mid,slow,18.0,42.0,right_baseline,left_baseline,left_kitchen,right_kitchen,angled drop from wide right lands in opponent left kitchen | opponent dinks crosscourt | you and partner advance to kitchen,Generic - third-shot drop from a wide angle is still the right call at 3.5,No 3.5-level content available yet. Using general advice.,
gold_013,typical,✗,Dink Cross-Court to Opponent's Backhand,speedup,"roll_volley, forehand_roll_to_feet",0.75,"attack, speed, hip",shoulder,4.5,kitchen,mid,slow,12.0,27.0,right_kitchen,left_kitchen,left_kitchen,right_kitchen,topspin speedup at opponent shoulder or hip | opponent jams the ball short | partner attacks the pop-up for winner,Generic - shoulder-high dink mid-rally is the speedup trigger at 4.5,No 4.5-level content available yet. Using general advice.,
gold_014,typical,✗,Counter-punch with a firm dink to opponent's backhand,block_volley,"reset, drop_volley",1.0,"fast, absorb, soft, kitchen",,4.0,kitchen,mid,fast,14.0,26.0,right_kitchen,left_kitchen,left_kitchen,right_kitchen,soft block absorbs pace and lands in opponent kitchen | opponent forced to hit up from kitchen | you capitalize on the next ball,Generic - quick hands required when pace comes hard at kitchen,No 4.0-level content available yet. Using general advice.,
gold_015,typical,✗,Drive at Opponent's Right Hip/Feet,third_shot_drive,third_shot_drop,1.0,"high, drive, attack, kitchen",,4.0,baseline,high,slow,10.0,38.0,right_baseline,left_baseline,left_kitchen,right_kitchen,drive hard at opponent feet | opponent must block from kitchen while you close | you volley the short block for winner,Generic - high slow ball from baseline rewards drive over drop at 4.0,No 4.0-level content available yet. Using general advice.,
gold_016,typical,✗,Aggressive Speed-Up at Opponent's Feet,overhead_smash,let_bounce_then_smash,0.25,attack,"overhead, lob, smash",4.0,kitchen,high,slow,10.0,30.0,right_kitchen,left_kitchen,left_baseline,right_baseline,overhead smash hit toward open court or at opp feet | opponent cannot return from back | point ends as winner,Generic - overhead when opponents lob and retreat is a straightforward put-away,No 4.0-level content available yet. Using general advice.,
gold_017,typical,✗,Dink Cross-Court to Opponent Left at Baseline,drive_return_down_line,"deep_return, lob_over_net_rusher",0.25,line,"gap, net-rusher, feet",4.0,transition,mid,fast,16.0,38.0,right_baseline,left_kitchen,left_baseline,right_kitchen,drive return down the right sideline at server feet | server cannot reach wide ball while closing | point won or you and partner take net position,Generic - right sideline is open when opp partner has rushed the net,No 4.0-level content available yet. Using general advice.,
gold_018,typical,✓,Cross-Court Dink to Opponent's Backhand,right_player_forehand_middle,,0.333,middle,"forehand, communication",,,,,,,,,,,,,No 3.5-level content available yet. Using general advice.,
gold_019,typical,✗,Cross-court dink to opponent's backhand,angle_dink_sideline,"dink_crosscourt, dink_down_line",0.5,"angle, sideline","pull, open court",4.0,kitchen,low,slow,18.0,28.0,right_kitchen,left_kitchen,left_kitchen,right_kitchen,sharp angle dink lands near sideline pulling opponent wide | opponent reaches wide leaving middle open | partner attacks the open middle,PrimeTime Pickleball - creating angles to open the court,No 4.0-level content available yet. Using general advice.,
gold_020,typical,✓,Cross-Court Dink to Opponent's Backhand,crosscourt_dink,middle_dink,0.75,"low, wait, dink",patience,3.5,kitchen,low,slow,6.0,29.0,left_kitchen,right_kitchen,left_kitchen,right_kitchen,soft crosscourt dink maintains low ball over net | opponent dinks back | patient rally continues until attackable ball arrives,Generic - do not force at 3.5; wait for the right ball,No 3.5-level content available yet. Using general advice.,
gold_021,typical,✓,Soft Reset Dink to Opponent's Backhand,soft_drop,"reset, drop_volley",1.0,"transition, soft, drop, advance",,3.5,transition,low,slow,10.0,31.0,right_transition,left_transition,left_kitchen,right_kitchen,compact soft drop lands in opponent kitchen | opponent dinks back low | you and partner advance to kitchen,Generic - third shot dropped long into transition; still play the drop from here,No 3.5-level content available yet. Using general advice.,
gold_022,typical,✗,Aggressive Overhead/Slam to Open Court,backhand_volley_attack,backhand_roll,0.5,"high, backhand","attack, volley",4.0,kitchen,high,slow,4.0,28.0,left_kitchen,right_kitchen,left_baseline,right_baseline,firm backhand volley driven at opponent feet | opponent pops up from baseline | you finish next ball,Generic - high ball on backhand side at kitchen is still an attack opportunity,No 4.0-level content available yet. Using general advice.,
gold_023,typical,✗,Aggressive Drop Volley to Backhand Side,volley_before_bounce,let_bounce_and_drop,0.25,volley,"air, float, advance",4.0,transition,mid,slow,8.0,32.0,left_kitchen,right_kitchen,left_baseline,right_baseline,volley the floating third before it bounces | opponent must hit next from deep | you hold kitchen position and attack the next ball,Generic - take floated third shots in the air to deny opponent more time,No 4.0-level content available yet. Using general advice.,
gold_024,typical,✗,Soft Dink Cross-Court to Opponent's Backhand,speedup,"roll_volley, crosscourt_dink",0.5,"attack, mid-height","above tape, patience",4.0,kitchen,mid,slow,12.0,27.5,right_kitchen,left_kitchen,left_kitchen,right_kitchen,speedup driven toward opponent body | opponent pop-up returns short | partner attacks the short ball for winner,Generic - after 5+ dink rally ball finally rises just above tape — attack,No 4.0-level content available yet. Using general advice.,
gold_025,typical,✗,Cross-court dink to opponent's backhand,reset_crosscourt,"dink_back, drop_volley",0.0,,"wide, recover, reset, position",4.0,kitchen,low,slow,19.0,28.0,right_kitchen,left_kitchen,left_kitchen,right_kitchen,soft crosscourt reset from wide sideline lands in opp kitchen | you recover to center kitchen position | rally resets and you return to neutral,"Generic - when pulled wide off court, reset and recover rather than force",No 4.0-level content available yet. Using general advice.,
gold_026,typical,✓,Cross-court dink to opponent's backhand,cut_angle_volley,"angle_dink, crosscourt_dink",0.25,angle,"short, sideline, cut",4.5,kitchen,low,slow,14.0,28.0,right_kitchen,left_kitchen,left_kitchen,right_kitchen,sharp cut angle dink drops near sideline | opponent reaches wide leaving center open | partner attacks the open middle,PrimeTime Pickleball - 4.5 players use short angles to open court,No 4.5-level content available yet. Using general advice.,
gold_027,typical,✗,Soft Reset Dink to Opponent's Backhand (Cross-Court Left),half_volley_soft,block,0.75,"low, soft, transition",half-volley,4.0,transition,low,slow,14.0,34.0,right_transition,left_transition,left_kitchen,right_kitchen,half-volley stays soft and lands in opponent kitchen | opponent dinks back | you continue advancing to kitchen,Generic - ball bouncing at your feet in transition requires a soft half-volley,No 4.0-level content available yet. Using general advice.,
gold_028,typical,✗,Deep Soft Drop into Kitchen,third_shot_drive,third_shot_drop,0.5,"transition, drive","attack, advance",4.0,baseline,mid,slow,10.0,40.0,right_baseline,left_baseline,left_transition,right_transition,drive third shot at opponent feet while they are still transitioning | opponent cannot reset cleanly from mid-court | you and partner advance to kitchen on the attack,Generic - opponents not yet at kitchen means drive is viable and aggressive,No 4.0-level content available yet. Using general advice.,
gold_029,typical,✗,Deep Drop Shot to Opponent's Feet,lob,"third_shot_drop, third_shot_drive",0.75,"advancing, over, time",lob,3.5,baseline,mid,slow,10.0,40.0,right_baseline,left_baseline,left_transition,right_transition,lob over opponents closing too fast | opponents must retreat and reset | you and partner advance to kitchen line,Generic - at 3.5 a lob over fast-advancing opponents buys time better than a drop,No 3.5-level content available yet. Using general advice.,
gold_030,typical,✗,Dink Cross-Court to Opponent Left at Baseline,drive_to_server_feet,"deep_topspin_return, lob_over_net_rusher",0.5,"feet, line","server, gap",4.0,transition,mid,fast,16.0,38.0,right_baseline,left_kitchen,left_baseline,right_kitchen,drive hard return at server feet as they approach | server cannot block cleanly from no-man's-land | point won or you advance to kitchen,Generic - server has rushed toward net; drive at their feet in transition,No 4.0-level content available yet. Using general advice.,
gold_031,tricky,✗,Soft Reset Dink to Opponent's Backhand,speedup_to_body,roll_volley,0.5,"jam, hip","body, shoulder",4.5,kitchen,mid,slow,10.0,26.0,right_kitchen,left_kitchen,left_kitchen,right_kitchen,topspin speedup driven at opponent body at shoulder or hip | opponent is jammed and cannot reset cleanly | pop-up returned and partner finishes,Generic - body-bag to torso is harder to handle than feet at the kitchen,No 4.5-level content available yet. Using general advice.,
gold_032,tricky,✗,Cross-court dink to opponent's backhand,sharp_crosscourt_kitchen,"direct_speedup, angle_dink",0.0,,"corner, crosscourt, partner, Erne",4.5,kitchen,low,slow,12.0,28.0,right_kitchen,left_kitchen,left_kitchen,right_kitchen,sharp crosscourt dink placed into far kitchen corner | opponent chases wide leaving post open | partner runs Erne and puts ball away,Advanced tactics - set up partner Erne instead of attacking yourself,No 4.5-level content available yet. Using general advice.,
gold_033,tricky,✗,Deep Drop Shot to Opponent's Backhand,partner_cross_forehand,,0.25,partner,"stacking, cross, switch",,,,,,,,,,,,,No 4.0-level content available yet. Using general advice.,
gold_034,tricky,✗,Cross-court dink to opponent's backhand,around_the_post,"dink_back, reset",0.25,sideline,"ATP, post, angle",4.0,kitchen,low,slow,19.0,23.0,right_kitchen,left_kitchen,left_kitchen,right_kitchen,hit around the post without clearing the net | ball curves inside court past opponent | point won without needing to clear net,Advanced tactics - ATP available when ball pulled very wide near sideline,No 4.0-level content available yet. Using general advice.,
gold_035,tricky,✗,Inside-Out Dink to Opponent's Left Foot,fake_attack_dink,crosscourt_dink,0.75,"fake, deception, soft",backpedal,4.5,kitchen,mid,slow,14.0,28.0,right_kitchen,left_kitchen,left_kitchen,right_kitchen,wind-up suggests speedup causing opponents to flinch back | place soft dink instead into the open kitchen | opponent catches off balance and cannot reach,Advanced tactics - deceptive fake speedup to draw opponent off kitchen line,No 4.5-level content available yet. Using general advice.,
gold_036,tricky,✗,Inside-Out Dink to Opponent's Left Foot,dink_down_the_line,reset_crosscourt,0.75,"angle, sideline, line",safe,4.0,kitchen,mid,slow,18.5,28.0,right_kitchen,left_kitchen,left_kitchen,right_kitchen,straight dink down the line stays in bounds | opponent at line must defend | no sideline-out risk compared to cross-court from this angle,Generic - very wide ball makes crosscourt too risky; go down the line,No 4.0-level content available yet. Using general advice.,
gold_037,tricky,✗,Cross-court dink to opponent's backhand,dink_crosscourt_for_partner_poach,"direct_speedup, angle_dink",0.0,,"partner, poach, crosscourt, setup",4.5,kitchen,low,slow,6.0,28.0,left_kitchen,right_kitchen,left_kitchen,right_kitchen,crosscourt dink drawn to opp right side | partner moves to poach | partner volleys winner from opp side,Advanced tactics - setting up partner poach is higher value than solo attack,No 4.5-level content available yet. Using general advice.,
gold_038,tricky,✗,Soft Reset Dink to Opponent's Backhand (Cross-Court),reset_from_baseline,defensive_lob,0.5,"reset, position","defensive, recover",4.0,baseline,low,slow,18.0,41.0,right_baseline,left_kitchen,left_kitchen,right_kitchen,soft reset from baseline lands in opp kitchen | opp must dink back giving you time | you recover and advance toward kitchen,Generic - running down a lob means resetting to recover position,No 4.0-level content available yet. Using general advice.,
gold_039,tricky,✓,Soft Reset Dink to Opponent's Backhand Side,soft_drop,"reset, block_volley",0.75,"soft, drop, kitchen",transition,3.5,transition,low,slow,10.0,31.0,right_transition,left_transition,left_kitchen,right_kitchen,compact drop from transition lands in opponent kitchen | opponent forced to dink back | you continue advance toward kitchen line,Generic - third that went long into transition is still recoverable with a soft drop,No 3.5-level content available yet. Using general advice.,
gold_040,tricky,✓,Cross-court dink to opponent's backhand,inside_out_behind_opponent,crosscourt_dink,0.25,line,"behind, cheating, open",4.5,kitchen,low,slow,5.0,28.0,left_kitchen,right_kitchen,left_kitchen,right_kitchen,inside-out shot placed behind cheating opp left | opp left caught going wrong way | large open court on opp left side exposed,"Advanced tactics - when opp is cheating left, go behind them not crosscourt",No 4.5-level content available yet. Using general advice.,
gold_041,tricky,✗,Drop Shot to Opponent's Backhand Side,serve_to_body,"serve_wide, serve_deep",0.75,"body, jam, limit",return angle,4.0,transition,mid,slow,8.0,38.0,right_baseline,left_kitchen,left_baseline,right_baseline,serve directed at receiver body | receiver jammed and cannot step into return | weak return gives you easy third shot opportunity,Generic - body serve limits return angle and jams the receiver,No 4.0-level content available yet. Using general advice.,
gold_042,tricky,✗,Soft Reset Drop to Opponent's Feet,defensive_lob,block_and_reset,0.75,"time, partner, defensive",lob,3.5,kitchen,mid,fast,6.0,26.0,right_kitchen,left_transition,left_baseline,right_baseline,lob buys time for partner to reach kitchen line | opponents must retreat from baseline | you and partner reset and regroup at kitchen,Generic - lob when partner is caught behind and drive would leave gap,No 3.5-level content available yet. Using general advice.,
gold_043,tricky,✓,Cross-court dink to opponent's backhand,dink_to_middle_T,"crosscourt_dink, dink_down_line",0.75,"middle, T, confusion",split,4.0,kitchen,low,slow,10.0,28.0,right_kitchen,left_kitchen,left_kitchen,right_kitchen,dink placed to center T between both opponents | both opponents hesitate who takes ball | miscommunication leads to weak return or error,Generic - middle T dink creates communication breakdown between opponents,No 4.0-level content available yet. Using general advice.,
